Volcano Number,Volcano Name,Eruption Number,Eruption Category,Area of Activity,VEI,VEI Modifier,Start Year Modifier,Start Year,Start Year Uncertainty,Start Month,Start Day Modifier,Start Day,Start Day Uncertainty,Evidence Method (dating),End Year Modifier,End Year,End Year Uncertainty,End Month,End Day Modifier,End Day,End Day Uncertainty,Latitude,Longitude
282080,Aira,22203,Confirmed Eruption,Minamidake summit crater,1,,,2017,,3,,25,,Historical Observations,>,2017,,8,,4,,31.593,130.657
300010,Kambalny,22198,Confirmed Eruption,,3,,,2017,,3,,24,,Historical Observations,,2017,,4,,10,,51.306,156.875
311300,Bogoslof,22182,Confirmed Eruption,,3,,,2016,,12,,20,,Historical Observations,>,2017,,7,,16,,53.93,-168.03
290260,Chirinkotan,22175,Confirmed Eruption,,3,,,2016,,11,,29,,Historical Observations,,2017,,4,,7,,48.98,153.48
223020,Nyamuragira,22202,Confirmed Eruption,,0,,,2016,,11,,27,,Historical Observations,,2017,,5,,2,,-1.408,29.2
300120,Zhupanovsky,22177,Confirmed Eruption,,2,,,2016,,11,,20,,Historical Observations,,2016,,11,,20,,53.589,159.15
261170,Kerinci,22172,Confirmed Eruption,,1,,,2016,,11,,15,,Historical Observations,,2016,,11,,21,,-1.697,101.264
354006,Sabancaya,22158,Confirmed Eruption,,3,,,2016,,11,,6,,Historical Observations,>,2017,,8,,20,,-15.787,-71.857
311240,Cleveland,22180,Confirmed Eruption,,1,,,2016,,10,,24,,Historical Observations,,2016,,10,,24,,52.825,-169.944
290380,Ebeko,22176,Confirmed Eruption,,2,,,2016,,10,,20,,Historical Observations,>,2017,,8,,1,,50.686,156.014
252120,Ulawun,22171,Confirmed Eruption,,1,,,2016,,10,,11,,Historical Observations,,2016,,11,,18,,-5.05,151.33
282110,Asosan,22174,Confirmed Eruption,,3,,,2016,,10,,7,,Historical Observations,,2016,,11,,12,,32.884,131.104
300130,Karymsky,22178,Confirmed Eruption,,2,,,2016,,10,,5,,Historical Observations,,2016,,10,,8,,54.049,159.443
354020,Ubinas,22181,Confirmed Eruption,,2,,,2016,,10,,2,,Historical Observations,,2016,,11,,17,,-16.355,-70.903
241040,White Island,22147,Confirmed Eruption,2012 lava dome,1,,,2016,,9,,13,,Historical Observations,,2016,,9,,13,,-37.52,177.18
233020,"Fournaise, Piton de la",22145,Confirmed Eruption,,0,,,2016,,9,,11,,Historical Observations,,2016,,9,,18,,-21.244,55.708
268060,Gamalama,22150,Confirmed Eruption,,1,,,2016,,8,,3,,Historical Observations,,2016,,8,,4,,0.8,127.33
264030,Rinjani,22149,Confirmed Eruption,Barujari Crater,2,,,2016,,8,,1,,Historical Observations,,2016,,9,,27,,-8.42,116.47
290360,Chikurachki,22153,Confirmed Eruption,,2,,,2016,,7,,27,,Historical Observations,,2016,,8,,18,,50.324,155.461
