Volcano Number,Eruption Number,VEI,Start Year,End Year,Latitude,Longitude,Volcano Name,Total SO2 Mass,SO2 Altitude Range Start
311300,22182,3,2016,2017,53.93,-168.03,Bogoslof,,
311300,19863,3,1992,1992,53.93,-168.03,Bogoslof,,
344070,10970,2,1999,1999,12.506,-86.702,"Negro, Cerro",,
344070,10966,2,1995,1995,12.506,-86.702,"Negro, Cerro",,
344070,10965,3,1992,1992,12.506,-86.702,"Negro, Cerro",,
261120,15414,1,1986,1986,0.686,99.539,Sorikmarapi,,
257030,20752,1,2011,2011,-15.4,167.83,Aoba,,
257030,15237,2,2005,2006,-15.4,167.83,Aoba,,
257030,15236,2,1995,1995,-15.4,167.83,Aoba,,
263180,20933,2,2014,2014,-7.242,109.208,Slamet,,
263180,15765,1,2009,2009,-7.242,109.208,Slamet,,
263180,15763,1,1999,1999,-7.242,109.208,Slamet,,
263180,15762,1,1988,1988,-7.242,109.208,Slamet,,
256010,15210,-1,2008,2012,-10.38,165.8,Tinakula,2,3
256010,15209,2,2006,2007,-10.38,165.8,Tinakula,2,3
256010,15207,1,2002,NaN,-10.38,165.8,Tinakula,,
256010,15206,1,2000,2001,-10.38,165.8,Tinakula,,
256010,15205,1,1999,NaN,-10.38,165.8,Tinakula,,
256010,15204,1,1995,NaN,-10.38,165.8,Tinakula,,
256010,15203,1,1989,1990,-10.38,165.8,Tinakula,,
256010,15202,2,1984,1985,-10.38,165.8,Tinakula,,
311310,19992,-1,1995,1995,53.891,-166.923,Makushin,10,12
311310,19991,1,1993,1994,53.891,-166.923,Makushin,,
311310,19990,1,1987,1987,53.891,-166.923,Makushin,,
311310,19988,1,1980,NaN,53.891,-166.923,Makushin,10,12
264200,16308,3,2003,2003,-8.365,122.833,Leroboleng,,
282120,17365,1,1995,1996,33.086,131.249,Kujusan,,
284170,20804,-1,2012,2012,18.13,145.8,Pagan,320,20
284170,20803,2,2011,2011,18.13,145.8,Pagan,,
284170,18524,1,2010,2010,18.13,145.8,Pagan,,
284170,18522,1,2006,2006,18.13,145.8,Pagan,,
284170,18521,1,1996,NaN,18.13,145.8,Pagan,,
284170,18520,2,1993,1993,18.13,145.8,Pagan,,
284170,18519,1,1992,1992,18.13,145.8,Pagan,,
284170,18518,2,1988,1988,18.13,145.8,Pagan,,
284170,18516,1,1987,1987,18.13,145.8,Pagan,,
284170,18515,4,1981,1985,18.13,145.8,Pagan,320,20
384010,20977,3,2014,2015,14.95,-24.35,Fogo,,
384010,13137,2,1995,1995,14.95,-24.35,Fogo,,
257040,15297,-1,2008,2017,-16.25,168.12,Ambrym,10,11.3
257040,15296,2,2006,2007,-16.25,168.12,Ambrym,,
257040,15295,1,1996,2005,-16.25,168.12,Ambrym,,
257040,15290,1,1994,NaN,-16.25,168.12,Ambrym,,
257040,15289,2,1990,1991,-16.25,168.12,Ambrym,,
257040,15288,2,1989,1989,-16.25,168.12,Ambrym,,
257040,15287,3,1988,1988,-16.25,168.12,Ambrym,,
257040,15286,2,1986,1986,-16.25,168.12,Ambrym,10,11.3
257040,15285,2,1984,1986,-16.25,168.12,Ambrym,,
257040,15284,2,1983,NaN,-16.25,168.12,Ambrym,,
257040,15283,2,1981,1981,-16.25,168.12,Ambrym,,
257040,15282,3,1980,1980,-16.25,168.12,Ambrym,,
257040,15281,2,1979,1979,-16.25,168.12,Ambrym,,
257040,15280,2,1979,1979,-16.25,168.12,Ambrym,,
234000,14393,0,1995,NaN,-37.721,77.825,Boomerang Seamount,,
261140,22111,1,2015,2015,-0.381,100.473,Marapi,,
261140,20931,1,2014,2014,-0.381,100.473,Marapi,,
261140,20797,1,2012,2012,-0.381,100.473,Marapi,,
261140,20796,1,2012,2012,-0.381,100.473,Marapi,,
261140,20795,2,2011,2011,-0.381,100.473,Marapi,,
261140,15479,2,2004,2004,-0.381,100.473,Marapi,,
261140,15478,2,2001,2001,-0.381,100.473,Marapi,,
261140,15477,2,2000,2000,-0.381,100.473,Marapi,,
261140,15476,2,1999,1999,-0.381,100.473,Marapi,,
261140,15475,2,1987,1994,-0.381,100.473,Marapi,,
261140,15474,1,1984,1984,-0.381,100.473,Marapi,,
261140,15472,1,1983,NaN,-0.381,100.473,Marapi,,
261140,15471,1,1982,1982,-0.381,100.473,Marapi,,
261140,15470,1,1982,1982,-0.381,100.473,Marapi,,
261140,15469,1,1980,NaN,-0.381,100.473,Marapi,,
234011,14399,0,2005,NaN,-53.03,72.6,McDonald Islands,,
234011,14397,1,2001,NaN,-53.03,72.6,McDonald Islands,,
234011,14396,1,1996,1997,-53.03,72.6,McDonald Islands,,
234011,14395,0,1992,NaN,-53.03,72.6,McDonald Islands,,
300060,18973,1,2000,2000,52.449,158.196,Mutnovsky,,
300060,18972,2,2000,2000,52.449,158.196,Mutnovsky,,
264220,16328,1,1993,1993,-8.342,123.258,Iliboleng,,
264220,16327,1,1991,1991,-8.342,123.258,Iliboleng,,
264220,16326,1,1991,1991,-8.342,123.258,Iliboleng,,
264220,16325,2,1987,1987,-8.342,123.258,Iliboleng,,
264220,16324,1,1986,1986,-8.342,123.258,Iliboleng,,
264220,16323,2,1983,1984,-8.342,123.258,Iliboleng,,
264220,16322,2,1982,1982,-8.342,123.258,Iliboleng,,
341021,10377,0,1993,1994,18.78,-110.95,Socorro,,
234010,20768,0,2012,2017,-53.106,73.513,Heard,,
234010,14412,0,2006,2008,-53.106,73.513,Heard,,
234010,14410,0,2003,2004,-53.106,73.513,Heard,,
234010,14409,2,2000,2001,-53.106,73.513,Heard,,
234010,14408,2,1993,NaN,-53.106,73.513,Heard,,
234010,14407,0,1992,NaN,-53.106,73.513,Heard,,
234010,14405,2,1985,1987,-53.106,73.513,Heard,,
257050,15322,2,2007,2007,-16.507,168.346,Lopevi,,
257050,15321,2,2005,2006,-16.507,168.346,Lopevi,,
257050,15320,2,2005,2005,-16.507,168.346,Lopevi,,
257050,15319,2,2004,2004,-16.507,168.346,Lopevi,,
257050,15318,3,2003,2003,-16.507,168.346,Lopevi,,
257050,15317,3,2001,2001,-16.507,168.346,Lopevi,,
257050,15316,3,1998,2000,-16.507,168.346,Lopevi,,
257050,15315,2,1982,1982,-16.507,168.346,Lopevi,,
257050,15314,3,1980,1980,-16.507,168.346,Lopevi,,
257050,15313,2,1979,1979,-16.507,168.346,Lopevi,,
385052,13144,0,2001,2002,-32.958,-5.22,Unnamed,,
311320,20038,1,1992,NaN,54.134,-165.986,Akutan,,
311320,20037,2,1992,1992,54.134,-165.986,Akutan,,
311320,20036,2,1991,1991,54.134,-165.986,Akutan,,
311320,20035,2,1990,1990,54.134,-165.986,Akutan,,
311320,20034,2,1990,1990,54.134,-165.986,Akutan,,
