Volcano Number,Volcano Name,Country,Emission ID,Method,Start Date,End Date,Total SO2 Mass,SO2 Altitude Range Start
290360,Chikurachki,Russia,182,Satellite,2016 Mar 30,2016 Mar 30,4.000,6.8
266030,Soputan,Indonesia,150,Satellite,2016 Jan 05,2016 Jan 05,3.000,11.8
342090,Fuego,Guatemala,283,Satellite,2016 Jan 04,2016 Jan 20,2.000,7.0
342090,Fuego,Guatemala,284,Satellite,2016 Feb 10,2016 Feb 10,1.000,7.0
266030,Soputan,Indonesia,151,Satellite,2016 Feb 06,2016 Feb 06,5.000,7.0
344040,Telica,Nicaragua,292,Satellite,2015 Nov 22,2015 Nov 22,1.000,2.4
282050,Kuchinoerabujima,Japan,166,Satellite,2015 May 29,2015 May 29,4.000,9.0
233020,"Fournaise, Piton de la",France,71,Satellite,2015 May 18,2015 May 18,2.000,7.6
357120,Villarrica,Chile,328,Satellite,2015 Mar 03,2015 Mar 03,5.000,10.0
233020,"Fournaise, Piton de la",France,72,Satellite,2015 Jul 31,2015 Jul 31,2.000,7.6
251020,Manam,Papua New Guinea,88,Satellite,2015 Jul 31,2015 Jul 31,50.000,19.0
300120,Zhupanovsky,Russia,186,Satellite,2015 Jul 12,2015 Jul 12,10.000,10.0
290360,Chikurachki,Russia,181,Satellite,2015 Feb 16,2015 Feb 16,5.000,8.0
342090,Fuego,Guatemala,282,Satellite,2015 Feb 07,2015 Feb 07,2.000,5.0
233020,"Fournaise, Piton de la",France,70,Satellite,2015 Feb 04,2015 Feb 04,3.000,7.6
266030,Soputan,Indonesia,149,Satellite,2015 Feb 02,2015 Feb 02,2.000,6.0
344090,Momotombo,Nicaragua,294,Satellite,2015 Dec 02,2015 Dec 02,1.500,2.0
233020,"Fournaise, Piton de la",France,73,Satellite,2015 Aug 25,2015 Aug 25,2.000,7.6
352050,Cotopaxi,Ecuador,301,Satellite,2015 Aug 14,2015 Aug 14,20.000,18.0
358020,Calbuco,Chile,330,Satellite,2015 Apr 22,2015 Apr 22,400.000,20.0
283040,Ontakesan,Japan,168,Satellite,2014 Sep 27,2014 Sep 27,1.000,10.0
300270,Sheveluch,Russia,208,Satellite,2014 Sep 24,2014 Sep 24,5.000,12.0
